"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"COD_SENADOR";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"NOME_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"2150256";"Passagem / Bilhete / Código Localizador";"2020";"10";"5535";"TELMÁRIO MOTA";"Passagens aéreas, aquáticas e terrestres nacionais";"11.489.244/0001-04";"CONTINENTAL VIAGENS";"ATG9QB";"2020-10-13";"Companhia Aérea: GOL, Localizador: ATG9QB. Passageiros: TELMARIO MOTA DE OLIVEIRA (Matrícula 175459, PARLAMENTAR), Voo: 1819 - BVB / BSB - 18/10/20; ";"1705,35"
"2150644";"Passagem / Bilhete / Código Localizador";"2020";"10";"5535";"TELMÁRIO MOTA";"Passagens aéreas, aquáticas e terrestres nacionais";"11.489.244/0001-04";"CONTINENTAL VIAGENS";"BNFT7Q";"2020-10-19";"Companhia Aérea: GOL, Localizador: BNFT7Q. Passageiros: TELMARIO MOTA DE OLIVEIRA (Matrícula 175459, PARLAMENTAR), Voo: 1818 - BSB / BVB - 31/10/20; ";"1180,19"
"2150982";"Passagem / Bilhete / Código Localizador";"2020";"10";"5535";"TELMÁRIO MOTA";"Passagens aéreas, aquáticas e terrestres nacionais";"11.489.244/0001-04";"CONTINENTAL VIAGENS";"FDQNTD";"2020-10-19";"Companhia Aérea: LATAM, Localizador: FDQNTD. Passageiros: TELMARIO MOTA DE OLIVEIRA (Matrícula 175459, PARLAMENTAR), Voo: 3608 - BSB / MAO - 23/10/20; ";"2248,09"
"2151111";"Passagem / Bilhete / Código Localizador";"2020";"10";"5535";"TELMÁRIO MOTA";"Passagens aéreas, aquáticas e terrestres nacionais";"11.489.244/0001-04";"CONTINENTAL VIAGENS";"69";"2020-10-31";"Companhia Aérea: GOL, Localizador: BNFT7Q. Passageiros: TELMARIO MOTA DE OLIVEIRA (Matrícula 175459, PARLAMENTAR), Voo: 1818 - BSB / BVB - 05/11/20; ";"1328,33"
"2152318";"Fatura";"2020";"11";"5535";"TELMÁRIO MOTA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05.939.467/0001-15";"COMPANHIA DE ÁGUAS E ESGOTOS DE RORAIMA";"S / N";"2020-11-17";;"42,89"
"2153778";"Fatura";"2020";"11";"5535";"TELMÁRIO MOTA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02.341.470/0001-44";"ELETROBRAS DISTRIBUIÇÃO RORAIMA";"6526209";"2020-11-30";;"575,77"
"2151108";"Recibo";"2020";"11";"5535";"TELMÁRIO MOTA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"717.***.***-53";"HELEN ALICE COSTA DA SILVA";"11";"2020-11-04";;"2800,00"
"2154620";"Fatura";"2020";"11";"5535";"TELMÁRIO MOTA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33.000.118/0008-45";"TELEMAR NORTE LESTE SA";"590208546";"2020-11-25";;"149,89"
"2152305";"Fatura";"2020";"11";"5535";"TELMÁRIO MOTA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02.558.157/0016-49";"VIVO";"2706070014";"2020-11-13";;"1510,33"
"2151585";"Cupom Fiscal";"2020";"11";"5535";"TELMÁRIO MOTA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"01.302.294/0001-79";"A X de Aragão M.E";"66515";"2020-11-09";;"93,70"
