"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"COD_SENADOR";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"NOME_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"2204246";"Passagem / Bilhete / Código Localizador";"2023";"5";"5012";"RANDOLFE RODRIGUES";"Passagens aéreas, aquáticas e terrestres nacionais";"14.294.443/0001-47";"A. Camacho Torres - VOO Turismo";"CQYECM";"2023-05-26";"Companhia Aérea: GOL, Localizador: CQYECM. Passageiros: RANDOLPH FREDERICH RODRIGUES ALVES (Matrícula 234282, PARLAMENTAR), Voo: 1444 - CGH/BSB - 29/05/23; ";"2530,57"
"2204247";"Passagem / Bilhete / Código Localizador";"2023";"5";"5012";"RANDOLFE RODRIGUES";"Passagens aéreas, aquáticas e terrestres nacionais";"14.294.443/0001-47";"A. Camacho Torres - VOO Turismo";"GGKCAM";"2023-05-26";"Companhia Aérea: LATAM, Localizador: GGKCAM. Passageiros: RANDOLPH FREDERICH RODRIGUES ALVES (Matrícula 234282, PARLAMENTAR), Voo: 3007 - BSB/CGH - 27/05/23; ";"2956,03"
"2211577";"Passagem / Bilhete / Código Localizador";"2023";"5";"5012";"RANDOLFE RODRIGUES";"Passagens aéreas, aquáticas e terrestres nacionais";"14.294.443/0001-47";"A. Camacho Torres - VOO Turismo";"JI9NVZ";"2023-05-26";"Companhia Aérea: AZUL, Localizador: JI9NVZ. Passageiros: AMANDA RODRIGUES LIMA CARDOSO (Matrícula 407656, COMISSIONADO), Voo: 6006 - CGH/BSB - 27/05/23; ";"2963,79"
"2204245";"Passagem / Bilhete / Código Localizador";"2023";"5";"5012";"RANDOLFE RODRIGUES";"Passagens aéreas, aquáticas e terrestres nacionais";"14.294.443/0001-47";"A. Camacho Torres - VOO Turismo";"VPRCLH";"2023-05-31";"Companhia Aérea: LATAM, Localizador: VPRCLH. Passageiros: RANDOLPH FREDERICH RODRIGUES ALVES (Matrícula 234282, PARLAMENTAR), Voo: 3768 - BSB/MCP - 01/06/23; ";"2079,63"
"2203950";"Boleto";"2023";"6";"5012";"RANDOLFE RODRIGUES";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05.965.546/0001-09";"companhia de eletricidade do amapá - CEA";"2317867";"2023-06-23";;"1149,94"
"2201282";"Recibo";"2023";"6";"5012";"RANDOLFE RODRIGUES";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"16.613.562/0001-40";"MOURA NEGÓCIOS IMOBILIÁRIOS";"SN";"2023-05-30";"Aluguel  referente a junho de 2023.";"4838,56"
"2204004";"Nota Fiscal Eletrônica";"2023";"6";"5012";"RANDOLFE RODRIGUES";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"32.351.590/0001-93";"NEW SERVICE LTDA";"240";"2023-07-07";"Referente ao mês de junho de 2023.";"1090,00"
"2203951";"Boleto";"2023";"6";"5012";"RANDOLFE RODRIGUES";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02.558.157/0001-62";"Telefonica Brasil S/A";"00001313762766";"2023-06-24";;"512,00"
"2202605";"Nota Fiscal Eletrônica";"2023";"6";"5012";"RANDOLFE RODRIGUES";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"13.364.156/0001-01";"Click Assessoria & Comunicação Ltda - ME";"101";"2023-06-19";;"2500,00"
"2202721";"Nota Fiscal Eletrônica";"2023";"6";"5012";"RANDOLFE RODRIGUES";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"24.939.049/0001-72";"GECOMUNICA MARKETING DIGITAL LTDA";"97";"2023-06-22";;"2000,00"
"2201912";"Nota Fiscal Eletrônica";"2023";"6";"5012";"RANDOLFE RODRIGUES";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"18.697.679/0001-85";"OPINIÃO ESTATÍSTICA EIRELI";"247";"2023-06-14";;"17585,00"
