"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"COD_SENADOR";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"NOME_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"2162112";"Nota Fiscal Eletrônica";"2021";"6";"70";"RENAN CALHEIROS";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"03.327.191/0001-99";"FRANCISCO DA ASBAC - DOM FRANCISCO RESTAURANTE";"67050";"2021-06-10";;"331,80"
"2162908";"Fatura";"2021";"6";"70";"RENAN CALHEIROS";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"24.472.748/0001-55";"ROTACAR LOCADORA";"24499";"2021-07-01";;"5666,66"
"2162035";"Passagem / Bilhete / Código Localizador";"2021";"6";"70";"RENAN CALHEIROS";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"ÁDRIA VIAGENS E TURISMO - GR";"MMQ8XZ";"2021-06-02";"Companhia Aérea: GOL, Localizador: MMQ8XZ. Passageiros: JOSÉ RENAN VASCONCELOS CALHEIROS (Matrícula 140779, PARLAMENTAR), Voo: 1999 - MACEIÓ/BRASÍLIA - 07/06/21; ";"1727,80"
"2162038";"Passagem / Bilhete / Código Localizador";"2021";"6";"70";"RENAN CALHEIROS";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"ÁDRIA VIAGENS E TURISMO - GR";"LAKTGO";"2021-06-10";"Companhia Aérea: LATAM, Localizador: LAKTGO. Passageiros: JOSÉ RENAN VASCONCELOS CALHEIROS (Matrícula 140779, PARLAMENTAR), Voo: 3357 - BRASÍLIA/MACEIÓ - 12/06/21; ";"2440,26"
"2162041";"Passagem / Bilhete / Código Localizador";"2021";"6";"70";"RENAN CALHEIROS";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"ÁDRIA VIAGENS E TURISMO - GR";"DEMIRF";"2021-06-12";"Companhia Aérea: LATAM, Localizador: DEMIRF. Passageiros: JOSÉ RENAN VASCONCELOS CALHEIROS (Matrícula 140779, PARLAMENTAR), Voo: 3366 - MACEIÓ/BRASÍLIA - 14/06/21; ";"2183,32"
"2161574";"Passagem / Bilhete / Código Localizador";"2021";"6";"70";"RENAN CALHEIROS";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"ÁDRIA VIAGENS E TURISMO - GR";"OMG87J";"2021-06-16";"Companhia Aérea: GOL, Localizador: OMG87J. Passageiros: JOSÉ RENAN VASCONCELOS CALHEIROS (Matrícula 140779, PARLAMENTAR), Voo: 1998 - BRASÍLIA/MACEIÓ - 18/06/21; ";"1933,36"
"2161575";"Passagem / Bilhete / Código Localizador";"2021";"6";"70";"RENAN CALHEIROS";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"ÁDRIA VIAGENS E TURISMO - GR";"MTRCQE";"2021-06-16";"Companhia Aérea: GOL, Localizador: MTRCQE. Passageiros: JOSÉ RENAN VASCONCELOS CALHEIROS (Matrícula 140779, PARLAMENTAR), Voo: 1999 - MACEIÓ/BRASÍLIA - 21/06/21; ";"2420,92"
"2163625";"Fatura";"2021";"7";"70";"RENAN CALHEIROS";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"39.580.673/0001-01";"BRK Ambiental";;"2021-07-13";;"229,80"
"2163620";"Nota Fiscal";"2021";"7";"70";"RENAN CALHEIROS";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"12.272.084/0001-00";"EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A";"52876683";"2021-07-11";;"197,60"
"2163629";"Recibo";"2021";"7";"70";"RENAN CALHEIROS";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"240.***.***-04";"FÁBIO LUIZ ARAÚJO LOPES DE FARIAS";;"2021-07-30";;"3907,30"
"2163627";"Fatura";"2021";"7";"70";"RENAN CALHEIROS";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"76.535.764/0006-58";"OI S.A";;"2021-07-25";;"98,39"
